Elv,Strekning,Grad,Sesong,Nivå,Lengde,Put-in,Take-out,Gradient,feet/mile,Avstand,Tid,Lat0,Lon0,Put-in,Lat1,Lon1,Take-out
Raundalselvi,Øvre Mjølfjell,V,mai-sept,,"1,6",752,671,"50,6","267,3",,,,,,,,
Raundalselvi,Mjølfjell-Voll,II-V,"mai-juni, sept",1.20-2.00,"10,9",671,510,"14,8","78,0","38,1",47,,,,,,
Raundalselvi,Voll-Reimegrend,V,juli-aug,,"3,4",510,461,"14,4","76,1","26,7",30,,,,,,
Raundalselvi,Reimegrend-stranda,V,mai-sept,0.60-1.20,"6,7",461,318,"21,3","112,7","26,3",25,,,,,,
Raundalselvi,Skytebanen-Trøbbelbrua,IV,mai-sept,0.60-1.50,"2,2",343,306,"16,8","88,8","22,1",20,,,,,,
Raundalselvi,Urdland-Meringi,IV,mai-sept,0.70-1.50,"3,9",269,227,"10,8","56,9","16,7",15,,,,,,
Raundalselvi,Meringi-Selheim (Rastalii),V,aug,,"2,2",215,157,"26,4","139,2","11,6",10,,,,,,
Raundalselvi,Selheim-Skytebanen (Marinejuvet),V,mai-sept,,"2,4",145,106,"16,3","85,8",9,8,,,,,,
Raundalselvi,Skytebanen-Palmafossen (Bømoen),II,mai-sept,,"4,3",94,75,"4,4","23,3","7,8",7,,,,,,
Raundalselvi,Palmafossen-Vangsvatnet (Brynagjelet),V?,,,"4,1",87,47,"9,8","51,5","3,6",3,,,,,,
Raundalselvi,Mjølfjell-Vangsvatnet,V,,,"41,7",671,47,"15,0","79,0",,,,,,,,
Vosso,Seimsvatnet-Evanger,II,heile året,,"8,0",39,11,"3,5","18,5","11,5",10,,,,,,
Vosso,Geitle-Evanger,II,heile året,,"5,3",30,11,"3,6","18,9",14,11,,,,,,
Strandaelvi,Oppheim-Vinjo (v/buss-stopp),V,"mai, sept",flom,"2,3",332,263,"30,0","158,4","24,4",20,,,,,,
Strandaelvi,Skjelviki,II,mai-sept,0.60-1.20,"1,2",167,160,"5,8","30,8",17,15,,,,,,
Strandaelvi,Nedre del,III,mai-sept,0.60-1.20,"2,5",120,90,"12,0","63,4",14,12,"60,741","6,491","https://www.google.com/maps/@60.741,6.491,16z","60,720","6,490","https://www.google.com/maps/@60.720,6.490,16z"
Myrkdalselvi,Øvre Myrkdalselvi,IV+,"mai-juni, sept",0.90-1.20,"3,8",538,424,"30,0","158,4",35,30,,,,,,
Myrkdalselvi,Nedre Myrkdalselvi,V,mai-sept,0.60-1.20,"3,6",424,239,"51,4","271,3",31,25,,,,,,
Feissgrovi,,IV-V,"mai-juni, sept",,"0,8",540,460,"100,0","528,0",,,,,,,,
Brandsetelvi,Brandsetelvi,V,"mai-juni, sept",,"3,4",550,350,"58,8","310,6",34,30,,,,,,
Brandsetelvi,Konkurransestrekningen,IV,"mai-juni, sept",,"0,4",394,365,"72,5","382,8",33,30,,,,,,
Nærøydalselvi,Nærøydalselvi,III,"mai-juni, sept",,"7,1",110,40,"9,9","52,1",37,30,,,,,,
Teigdalselvi,Teigdalselvi,V,"mai-juni, sept",,"3,5",360,105,"72,9","384,7",,,,,,,,
Teigdalselvi,Geitehus-nedanfor svingane,V,"mai-juni, sept",,"1,4",360,200,"114,3","603,4",,,,,,,,
Teigdalselvi,Nedre Teigdalselvi,IV-V,"mai-juni, sept",,"2,0",60,15,"22,5","118,8",,,,,,,,
Brekkedalselvi,Over Brattebakken til Vetlestølen,IV-V,"mai-juni, sept",,"3,0",630,500,"43,3","228,8",,,,,,,,
Berdalselvi,Bru-Jordalselvi,V,"mai-juni, sept",,"1,5",710,590,"80,0","422,4",,,,,,,,
Jordalselvi,Øvre Jordalselvi,V,juni-september,,"5,4",810,650,"29,6","156,4",,,,,,,,
Jordalselvi,Nedre Jordalselvi,V,mai-september,,"3,0",580,430,"50,0","264,0",,,,,,,,
Dyrvo,Dyrvo,IV,"mai-juni, sept",,"1,3",410,350,"46,2","243,7",,,,,,,,
Bordalselvi,Bordalselvi,III-IV,"mai, sept",,"4,4",420,350,"15,9","84,0",,,,,,,,
Rjoåni,Skytebane-Raundalselvi,V,juni-september,,"3,4",720,570,"44,1","232,9",,,,,,,,
Urdlanselvi,Urdlanselvi,V,"mai, sept",,"2,0",440,300,"70,0","369,6",,,,,,,,
Tverrelvi,Øvre,IV-V,"mai, sept",,"0,8",420,390,"37,5","198,0",,,,,,,,
Sagelvi,Sagelvi,IV-V,"mai, sept",,"2,4",460,290,"70,8","374,0",22,20,,,,,,
Sagelvi,Øvre Sagelvi,IV-V,"mai, sept",,"1,3",532,460,"55,4","292,4","23,5",23,,,,,,
Engjalandselvi/Gimlo,Frå bom til bru,IV-V,"mai-juni, sept",,"1,7",440,260,"105,9","559,1",,,,,,,,
Øvstedalselvi,Frå enden på vegen til gamal sag,IV,"mai-juni, sept",,"2,1",390,320,"33,3","176,0",,,,,,,,
Tysso,Bru-fjord,IV,"mai-juni, sept",,"7,1",290,0,"40,8","215,7",,,,,,,,
Tysso,Nedre,V,mai-sept,,"1,2",200,0,"166,7","880,0",,,,,,,,
Ekso,Lake-to-lake,V,mai-juni,,,,,,,,,,,,,,
Kvanndøla,,V,mai,,,,,,,,,,,,,,
Vangjolo,,V,mai,,,,,,,,,,,,,,
Holaelvi,,V,,,"1,65",235,184,"30,9","163,2",18,,,,,,,
Vosso,Bulken,WAVE,,,,,,,,9,7,,,,,,
Vosso,Flaga,WAVE,,,,,,,,10,8,,,,,,
Vosso,Blå brua,WAVE,,,,,,,,15,12,,,,,,
Vosso,Evanger,WAVE,,,,,,,,19,15,,,,,,
Raundalselvi,Voll,WAVE,,,,,,,,28,30,,,,,,
Raundalselvi,Milky wave,WAVE,,,,57,,,,2,2,,,,,,
Strandaelvi,Buss-stoppen,HOLE,,,,160,,,,16,15,,,,,,
Vosso,Vangsvatnet,LAKE,,,,47,,,,,,,,,,,
